target,fold,model,test_start,test_end,n_test,positive_rate,precision,recall,f1,pr_auc
NextVolSpike,10,LightGBM,2021-04-05,2021-07-01,882,0.04195011337868481,0.12396694214876033,0.8108108108108109,0.21505376344086022,0.20634062586514368
NextVolSpike,10,XGBoost,2021-04-05,2021-07-01,882,0.04195011337868481,0.13106796116504854,0.7297297297297297,0.2222222222222222,0.17514706197400134
NextVolSpike,10,MatchedNaive,2021-04-05,2021-07-01,882,0.04195011337868481,0.6666666666666666,0.7027027027027027,0.6842105263157895,0.793606715492412
NextVolSpike,10,HAR,2021-04-05,2021-07-01,882,0.04195011337868481,0.6829268292682927,0.7567567567567568,0.717948717948718,0.7946308099007722
NextVolSpike,11,Majority,2021-07-02,2021-09-30,882,0.09750566893424037,0.0,0.0,0.0,
NextVolSpike,11,Persistence,2021-07-02,2021-09-30,882,0.09750566893424037,0.3804347826086957,0.4069767441860465,0.39325842696629215,
NextVolSpike,11,LogisticRegression,2021-07-02,2021-09-30,882,0.09750566893424037,0.31896551724137934,0.8604651162790697,0.46540880503144655,0.5196761815345315
NextVolSpike,11,LightGBM,2021-07-02,2021-09-30,882,0.09750566893424037,0.2830188679245283,0.872093023255814,0.42735042735042733,0.45792888776201474
NextVolSpike,11,XGBoost,2021-07-02,2021-09-30,882,0.09750566893424037,0.31627906976744186,0.7906976744186046,0.45182724252491696,0.4676592207597421
NextVolSpike,11,MatchedNaive,2021-07-02,2021-09-30,882,0.09750566893424037,0.8452380952380952,0.8255813953488372,0.8352941176470589,0.8787082671694764
NextVolSpike,11,HAR,2021-07-02,2021-09-30,882,0.09750566893424037,0.8292682926829268,0.7906976744186046,0.8095238095238095,0.8796380826931052
NextVolSpike,12,Majority,2021-10-01,2021-12-30,882,0.23242630385487528,0.0,0.0,0.0,
NextVolSpike,12,Persistence,2021-10-01,2021-12-30,882,0.23242630385487528,0.6650943396226415,0.6878048780487804,0.6762589928057554,
NextVolSpike,12,LogisticRegression,2021-10-01,2021-12-30,882,0.23242630385487528,0.5548780487804879,0.8878048780487805,0.6829268292682927,0.7753186048836207
NextVolSpike,12,LightGBM,2021-10-01,2021-12-30,882,0.23242630385487528,0.5053475935828877,0.9219512195121952,0.6528497409326425,0.7802173212177753
NextVolSpike,12,XGBoost,2021-10-01,2021-12-30,882,0.23242630385487528,0.5489614243323442,0.9024390243902439,0.6826568265682657,0.773767892748387
NextVolSpike,12,MatchedNaive,2021-10-01,2021-12-30,882,0.23242630385487528,0.8502415458937198,0.8585365853658536,0.8543689320388349,0.8966492691389735
NextVolSpike,12,HAR,2021-10-01,2021-12-30,882,0.23242630385487528,0.8640776699029126,0.8682926829268293,0.8661800486618005,0.9027091031592327
NextVolSpike,13,Majority,2021-12-31,2022-03-31,882,0.5,0.0,0.0,0.0,
NextVolSpike,13,Persistence,2021-12-31,2022-03-31,882,0.5,0.8073878627968337,0.6938775510204082,0.7463414634146341,
NextVolSpike,13,LogisticRegression,2021-12-31,2022-03-31,882,0.5,0.6921797004991681,0.9433106575963719,0.7984644913627639,0.8382215151332485
NextVolSpike,13,LightGBM,2021-12-31,2022-03-31,882,0.5,0.6758957654723127,0.9410430839002267,0.7867298578199052,0.8378905492382736
NextVolSpike,13,XGBoost,2021-12-31,2022-03-31,882,0.5,0.7163120567375887,0.9160997732426304,0.8039800995024876,0.8493585943298272
NextVolSpike,13,MatchedNaive,2021-12-31,2022-03-31,882,0.5,0.9267734553775744,0.9183673469387755,0.9225512528473804,0.959884182126317
NextVolSpike,13,HAR,2021-12-31,2022-03-31,882,0.5,0.9189814814814815,0.9002267573696145,0.9095074455899198,0.9552134515246022
NextVolSpike,14,Majority,2022-04-01,2022-07-01,882,0.6326530612244898,0.0,0.0,0.0,
NextVolSpike,14,Persistence,2022-04-01,2022-07-01,882,0.6326530612244898,0.8853932584269663,0.7060931899641577,0.7856430707876371,
NextVolSpike,14,LogisticRegression,2022-04-01,2022-07-01,882,0.6326530612244898,0.7813411078717201,0.9605734767025089,0.8617363344051447,0.9308928872142639
NextVolSpike,14,LightGBM,2022-04-01,2022-07-01,882,0.6326530612244898,0.7723342939481268,0.9605734767025089,0.8562300319488818,0.9436897318194766
NextVolSpike,14,XGBoost,2022-04-01,2022-07-01,882,0.6326530612244898,0.8130841121495327,0.9354838709677419,0.87,0.9457953450959755
NextVolSpike,14,MatchedNaive,2022-04-01,2022-07-01,882,0.6326530612244898,0.9205776173285198,0.9139784946236559,0.9172661870503597,0.9698076596266958
NextVolSpike,14,HAR,2022-04-01,2022-07-01,882,0.6326530612244898,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.9698860523185562
NextVolSpike,15,Majority,2022-07-05,2022-09-30,882,0.3356009070294785,0.0,0.0,0.0,
NextVolSpike,15,Persistence,2022-07-05,2022-09-30,882,0.3356009070294785,0.5633802816901409,0.5405405405405406,0.5517241379310345,
NextVolSpike,15,LogisticRegression,2022-07-05,2022-09-30,882,0.3356009070294785,0.4699828473413379,0.9256756756756757,0.6234357224118316,0.5715802149032201
NextVolSpike,15,LightGBM,2022-07-05,2022-09-30,882,0.3356009070294785,0.4551386623164764,0.9425675675675675,0.6138613861386139,0.5865385336208613
NextVolSpike,15,XGBoost,2022-07-05,2022-09-30,882,0.3356009070294785,0.4882032667876588,0.9087837837837838,0.6351829988193625,0.5871758706955558
NextVolSpike,15,MatchedNaive,2022-07-05,2022-09-30,882,0.3356009070294785,0.8754208754208754,0.8783783783783784,0.8768971332209107,0.9193651812427299
NextVolSpike,15,HAR,2022-07-05,2022-09-30,882,0.3356009070294785,0.8775510204081632,0.8716216216216216,0.8745762711864407,0.9203155612241155
NextVolSpike,16,Majority,2022-10-03,2022-12-30,882,0.4126984126984127,0.0,0.0,0.0,
NextVolSpike,16,Persistence,2022-10-03,2022-12-30,882,0.4126984126984127,0.6742857142857143,0.6483516483516484,0.6610644257703081,
